PanBaRT20_chr1HG00001.1	chr1H_LR890096.1	49468	50716	-
PanBaRT20_chr1HG00002.1	chr1H_LR890096.1	49526	50596	+
PanBaRT20_chr1HG00003.1	chr1H_LR890096.1	74705	74957	-
PanBaRT20_chr1HG00004.1	chr1H_LR890096.1	75239	75523	-
PanBaRT20_chr1HG00005.1	chr1H_LR890096.1	76744	77373	-
PanBaRT20_chr1HG00006.1	chr1H_LR890096.1	76744	77373	+
PanBaRT20_chr1HG00007.1	chr1H_LR890096.1	78284	81860	-
PanBaRT20_chr1HG00008.1	chr1H_LR890096.1	84096	86985	-
PanBaRT20_chr1HG00009.1	chr1H_LR890096.1	132221	138736	+
PanBaRT20_chr1HG00010.1	chr1H_LR890096.1	146607	148562	+
PanBaRT20_chr1HG00011.1	chr1H_LR890096.1	146668	148439	+
PanBaRT20_chr1HG00012.1	chr1H_LR890096.1	152919	156330	+
PanBaRT20_chr1HG00013.1	chr1H_LR890096.1	156731	159868	-
PanBaRT20_chr1HG00014.1	chr1H_LR890096.1	161550	166657	-
PanBaRT20_chr1HG00015.1	chr1H_LR890096.1	173586	179073	-
PanBaRT20_chr1HG00016.1	chr1H_LR890096.1	376513	387660	-
PanBaRT20_chr1HG00017.1	chr1H_LR890096.1	409649	413573	-
PanBaRT20_chr1HG00018.1	chr1H_LR890096.1	539356	543436	+
PanBaRT20_chr1HG00019.1	chr1H_LR890096.1	579618	585987	+
PanBaRT20_chr1HG00020.1	chr1H_LR890096.1	596594	603055	.
PanBaRT20_chr1HG00021.1	chr1H_LR890096.1	669249	670359	.
PanBaRT20_chr1HG00022.1	chr1H_LR890096.1	669249	670359	+
PanBaRT20_chr1HG00023.1	chr1H_LR890096.1	669483	670359	-
PanBaRT20_chr1HG00024.1	chr1H_LR890096.1	673211	673833	+
PanBaRT20_chr1HG00025.1	chr1H_LR890096.1	673211	673833	+
PanBaRT20_chr1HG00026.1	chr3H_LR890098.1	388877265	388877513	-
PanBaRT20_chr1HG00027.1	chr1H_LR890096.1	1141088	1148147	+
PanBaRT20_chr1HG00028.1	chr1H_LR890096.1	1155323	1159598	-
PanBaRT20_chr1HG00029.1	chr1H_LR890096.1	1166807	1169702	+
PanBaRT20_chr1HG00030.1	chr1H_LR890096.1	1178784	1180898	.
PanBaRT20_chr1HG00031.1	chr1H_LR890096.1	1178784	1179234	-
PanBaRT20_chr1HG00032.1	chr1H_LR890096.1	1317064	1321019	-
PanBaRT20_chr1HG00033.1	chr1H_LR890096.1	1335338	1337433	-
PanBaRT20_chr1HG00034.1	chr1H_LR890096.1	1308204	1310237	+
PanBaRT20_chr1HG00035.1	chr1H_LR890096.1	1308214	1309345	-
PanBaRT20_chr1HG00036.1	chr1H_LR890096.1	1317091	1321019	-
PanBaRT20_chr1HG00037.1	chr1H_LR890096.1	1335375	1337433	-
PanBaRT20_chr1HG00038.1	chr1H_LR890096.1	1444203	1445966	+
PanBaRT20_chr1HG00039.1	chr1H_LR890096.1	1453026	1457443	-
PanBaRT20_chr1HG00040.1	chr1H_LR890096.1	1459026	1459555	-
PanBaRT20_chr1HG00041.1	chr1H_LR890096.1	1474564	1476569	-
PanBaRT20_chr1HG00042.1	chr1H_LR890096.1	1474576	1476121	+
PanBaRT20_chr1HG00043.1	chr1H_LR890096.1	1499093	1501172	+
PanBaRT20_chr1HG00044.1	chr1H_LR890096.1	1499104	1500300	-
PanBaRT20_chr1HG00045.1	chr1H_LR890096.1	1511418	1513470	+
PanBaRT20_chr1HG00046.1	chr1H_LR890096.1	1535894	1539760	+
PanBaRT20_chr1HG00047.1	chr1H_LR890096.1	1549952	1552881	+
PanBaRT20_chr1HG00048.1	chr1H_LR890096.1	1560608	1565524	+
PanBaRT20_chr1HG00049.1	chr1H_LR890096.1	1571383	1571660	+
PanBaRT20_chr1HG00050.1	chr1H_LR890096.1	1585712	1589390	+
PanBaRT20_chr1HG00051.1	chr1H_LR890096.1	1596612	1599490	-
PanBaRT20_chr1HG00052.1	chr1H_LR890096.1	1599491	1601727	+
PanBaRT20_chr1HG00053.1	chr1H_LR890096.1	1602051	1602944	-
