HORVU.MOREX.r3.1HG0000030	chr1H_LR890096.1	76744	77373	+	No	No
HORVU.MOREX.r3.1HG0000040	chr1H_LR890096.1	78284	81892	-	No	No
HORVU.MOREX.r3.1HG0000050	chr1H_LR890096.1	84091	87063	-	No	No
HORVU.MOREX.r3.1HG0000060	chr1H_LR890096.1	132221	138736	+	No	No
HORVU.MOREX.r3.1HG0000070	chr1H_LR890096.1	146607	148562	+	No	No
HORVU.MOREX.r3.1HG0000080	chr1H_LR890096.1	152919	156330	+	No	No
HORVU.MOREX.r3.1HG0000090	chr1H_LR890096.1	156767	159868	-	No	No
HORVU.MOREX.r3.1HG0000110	chr1H_LR890096.1	173586	179073	-	No	No
HORVU.MOREX.r3.1HG0000130	chr1H_LR890096.1	376513	387660	-	No	No
HORVU.MOREX.r3.1HG0000140	chr1H_LR890096.1	409649	413586	-	No	No
HORVU.MOREX.r3.1HG0000210	chr1H_LR890096.1	539356	543436	+	No	No
HORVU.MOREX.r3.1HG0000220	chr1H_LR890096.1	579618	585987	+	No	No
HORVU.MOREX.r3.1HG0000230	chr1H_LR890096.1	592132	592473	-	No	No
HORVU.MOREX.r3.1HG0000240	chr1H_LR890096.1	593582	596593	-	No	No
HORVU.MOREX.r3.1HG0000250	chr1H_LR890096.1	603056	607068	+	No	No
HORVU.MOREX.r3.1HG0000260	chr1H_LR890096.1	669249	670359	+	No	No
HORVU.MOREX.r3.1HG0000270	chr1H_LR890096.1	673211	673833	-	No	No
HORVU.MOREX.r3.1HG0000280	chr1H_LR890096.1	710859	715963	-	No	No
HORVU.MOREX.r3.1HG0000290	chr1H_LR890096.1	781382	782035	+	No	No
HORVU.MOREX.r3.1HG0000340	chr1H_LR890096.1	1141088	1148147	+	No	No
HORVU.MOREX.r3.1HG0000350	chr1H_LR890096.1	1155323	1159598	-	No	No
HORVU.MOREX.r3.1HG0000360	chr1H_LR890096.1	1166807	1169702	+	No	No
HORVU.MOREX.r3.1HG0000370	chr1H_LR890096.1	1178784	1179047	+	No	No
HORVU.MOREX.r3.1HG0000380	chr1H_LR890096.1	1180899	1185074	-	No	No
HORVU.MOREX.r3.1HG0000390	chr1H_LR890096.1	1199200	1201478	-	No	No
HORVU.MOREX.r3.1HG0000400	chr1H_LR890096.1	1266246	1266853	+	No	No
HORVU.MOREX.r3.1HG0000410	chr1H_LR890096.1	1308204	1310237	+	No	No
HORVU.MOREX.r3.1HG0000420	chr1H_LR890096.1	1317064	1321214	-	No	No
HORVU.MOREX.r3.1HG0000430	chr1H_LR890096.1	1335336	1337433	-	No	No
HORVU.MOREX.r3.1HG0000440	chr1H_LR890096.1	1402196	1402803	+	No	No
HORVU.MOREX.r3.1HG0000450	chr1H_LR890096.1	1444203	1445966	+	No	No
HORVU.MOREX.r3.1HG0000460	chr1H_LR890096.1	1453026	1457443	-	No	No
HORVU.MOREX.r3.1HG0000470	chr1H_LR890096.1	1474564	1476642	-	No	No
HORVU.MOREX.r3.1HG0000480	chr1H_LR890096.1	1499093	1501176	+	No	No
HORVU.MOREX.r3.1HG0000490	chr1H_LR890096.1	1511418	1513470	+	No	No
HORVU.MOREX.r3.1HG0000520	chr1H_LR890096.1	1549952	1552881	+	No	No
HORVU.MOREX.r3.1HG0000530	chr1H_LR890096.1	1555790	1556539	+	No	No
HORVU.MOREX.r3.1HG0000540	chr1H_LR890096.1	1560608	1565524	+	No	No
HORVU.MOREX.r3.1HG0000580	chr1H_LR890096.1	1585712	1593597	+	No	No
HORVU.MOREX.r3.1HG0000590	chr1H_LR890096.1	1596612	1596974	-	No	No
HORVU.MOREX.r3.1HG0000600	chr1H_LR890096.1	1599491	1601784	+	No	No
HORVU.MOREX.r3.1HG0000610	chr1H_LR890096.1	1602945	1606151	-	No	No
HORVU.MOREX.r3.1HG0000620	chr1H_LR890096.1	1613941	1621779	+	No	No
HORVU.MOREX.r3.1HG0000630	chr1H_LR890096.1	1630936	1636720	-	No	No
HORVU.MOREX.r3.1HG0000660	chr1H_LR890096.1	1706754	1712567	+	No	No
HORVU.MOREX.r3.1HG0000670	chr1H_LR890096.1	1725335	1728063	+	No	No
HORVU.MOREX.r3.1HG0000680	chr1H_LR890096.1	1728977	1730259	-	No	No
HORVU.MOREX.r3.1HG0000690	chr1H_LR890096.1	1753936	1757170	-	No	No
HORVU.MOREX.r3.1HG0000710	chr1H_LR890096.1	1765837	1771516	+	No	No
HORVU.MOREX.r3.1HG0000720	chr1H_LR890096.1	1778343	1780152	-	No	No
