
PanBaRT20_chr1HG00001.1	chr1H_LR890096.1	49468	50716	-	MorexV3	chr1H	49468	50716	-	100.0	100.0	No	
PanBaRT20_chr1HG00002.1	chr1H_LR890096.1	49526	50596	+	MorexV3	chr1H	49526	50596	+	100.0	100.0	No	
PanBaRT20_chr1HG00003.1	chr1H_LR890096.1	74705	74957	-	MorexV3	chr1H	74705	74957	-	100.0	100.0	No	
PanBaRT20_chr1HG00004.1	chr1H_LR890096.1	75239	75523	-	MorexV3	chr1H	75239	75523	-	100.0	100.0	No	
PanBaRT20_chr1HG00005.1	chr1H_LR890096.1	76744	77373	-	MorexV3	chr1H	76018	77970	-	100.0	100.0	No	
PanBaRT20_chr1HG00006.1	chr1H_LR890096.1	76744	77373	+	MorexV3	chr1H	76163	78024	+	100.0	100.0	No	
PanBaRT20_chr1HG00007.1	chr1H_LR890096.1	78284	81860	-	MorexV3	chr1H	78267	81860	-	100.0	100.0	No	
PanBaRT20_chr1HG00008.1	chr1H_LR890096.1	84096	86985	-	MorexV3	chr1H	84096	86985	-	100.0	100.0	No	
PanBaRT20_chr1HG00009.1	chr1H_LR890096.1	132221	138736	+	MorexV3	chr1H	132156	138781	+	100.0	100.0	No	
PanBaRT20_chr1HG00010.1	chr1H_LR890096.1	146607	148562	+	MorexV3	chr1H	146596	148563	+	100.0	100.0	No	
PanBaRT20_chr1HG00011.1	chr1H_LR890096.1	146668	148439	+	MorexV3	chr1H	146668	148439	+	100.0	100.0	No	
PanBaRT20_chr1HG00012.1	chr1H_LR890096.1	152919	156330	+	MorexV3	chr1H	152141	156431	+	100.0	100.0	No	
PanBaRT20_chr1HG00013.1	chr1H_LR890096.1	156731	159868	-	MorexV3	chr1H	156731	159876	-	100.0	100.0	No	
PanBaRT20_chr1HG00014.1	chr1H_LR890096.1	161550	166657	-	MorexV3	chr1H	161550	166657	-	100.0	100.0	No	
PanBaRT20_chr1HG00015.1	chr1H_LR890096.1	173586	179073	-	MorexV3	chr1H	173525	179916	-	100.0	100.0	No	
PanBaRT20_chr1HG00016.1	chr1H_LR890096.1	376513	387660	-	MorexV3	chr1H	376381	388006	-	100.0	100.0	No	
PanBaRT20_chr1HG00017.1	chr1H_LR890096.1	409649	413573	-	MorexV3	chr1H	409622	413573	-	100.0	100.0	No	
PanBaRT20_chr1HG00018.1	chr1H_LR890096.1	539356	543436	+	MorexV3	chr1H	538667	544206	+	100.0	100.0	No	
PanBaRT20_chr1HG00019.1	chr1H_LR890096.1	579618	585987	+	MorexV3	chr1H	579114	586327	+	100.0	100.0	No	
PanBaRT20_chr1HG00020.1	chr1H_LR890096.1	596594	603055	.	HOR_21599	chr1H	1541408	1542009	-	99.2	100.0	Yes	.
PanBaRT20_chr1HG00021.1	chr1H_LR890096.1	669249	670359	.	HOR_13821	chr1H	3307612	3309412	+	99.1	100.0	No	.
PanBaRT20_chr1HG00022.1	chr1H_LR890096.1	669249	670359	+	MorexV3	chr1H	669242	670435	+	100.0	100.0	No	
PanBaRT20_chr1HG00023.1	chr1H_LR890096.1	669483	670359	-	MorexV3	chr1H	669483	670360	-	100.0	100.0	No	
PanBaRT20_chr1HG00024.1	chr1H_LR890096.1	673211	673833	+	MorexV3	chr1H	672618	673927	+	99.4	100.0	No	
PanBaRT20_chr1HG00025.1	chr1H_LR890096.1	673211	673833	+	MorexV3	chr1H	672798	673864	+	99.2	100.0	No	
PanBaRT20_chr1HG00026.1	chr3H_LR890098.1	388877265	388877513	-	MorexV3	chr3H	388877265	388877513	-	98.4	100.0	Yes	
PanBaRT20_chr1HG00027.1	chr1H_LR890096.1	1141088	1148147	+	MorexV3	chr1H	1140931	1148436	+	100.0	100.0	No	
PanBaRT20_chr1HG00028.1	chr1H_LR890096.1	1155323	1159598	-	MorexV3	chr1H	1155126	1159766	-	100.0	100.0	No	
